"Proximal,10ms,0.2Hz,9.4GPM","Distal,10ms,0.2Hz,9.4GPM","Proximal,10ms,0.2Hz,8.6GPM","Distal,10ms,0.2Hz,8.6GPM","Proximal,10ms,0.2Hz,7.8GPM","Distal,10ms,0.2Hz,7.8GPM","Proximal,10ms,0.2Hz,6.7GPM","Distal,10ms,0.2Hz,6.7GPM","Proximal,10ms,0.2Hz,5.4GPM","Distal,10ms,0.2Hz,5.4GPM","Proximal,10ms,0.2Hz,3.9GPM","Distal,10ms,0.2Hz,3.9GPM","Proximal,10ms,0.2Hz,3.2GPM","Distal,10ms,0.2Hz,3.2GPM"
30.269,31.571,30.085,30.5,29.237,31.314,28.828,31.314,30.639,31.057,30.062,31.15,28.987,31.853
30.246,31.571,30.016,30.408,29.237,24.069,29.397,30.987,30.57,31.104,29.993,31.104,29.809,31.548
30.269,31.571,30.292,30.177,29.306,31.15,29.169,31.104,30.477,31.104,29.97,31.36,30.431,31.477
30.269,31.548,30.269,30.384,29.055,30.987,29.26,31.15,30.57,31.127,30.085,31.829,30.755,32.135
30.269,31.548,30.362,30.454,26.803,31.08,29.078,30.408,30.639,31.15,29.832,31.36,31.057,31.759
30.2,31.665,30.384,30.408,29.306,31.501,29.328,31.197,30.639,31.104,29.671,31.197,30.384,31.665
30.154,31.9,30.338,30.384,29.1,31.08,29.1,31.034,30.685,31.127,29.97,31.197,30.477,30.801
30.154,31.501,30.362,30.431,28.941,31.15,29.901,31.197,30.662,31.127,30.177,31.22,30.408,31.665
30.177,31.571,30.408,30.408,29.1,31.104,29.1,29.374,30.639,31.15,29.947,31.244,30.5,31.571
30.246,31.571,30.362,30.5,29.534,30.918,28.805,30.941,30.662,31.127,30.085,31.407,30.5,31.15
30.154,31.594,30.384,30.477,28.918,31.407,28.578,31.104,30.57,31.15,29.901,31.384,30.362,32.041
30.154,31.524,30.338,30.408,28.941,30.062,29.191,31.127,30.639,31.15,30.154,31.22,30.454,30.546
30.131,31.594,31.9,30.408,29.169,31.267,29.169,31.08,30.639,30.941,30.177,31.641,30.408,31.548
30.177,31.15,30.408,30.384,29.009,31.011,28.964,31.407,30.662,31.15,30.062,31.057,30.454,31.665
30.131,31.501,30.408,30.384,29.146,31.267,29.237,31.477,30.662,31.15,30.016,31.384,30.431,31.548
30.154,31.548,30.292,30.408,28.941,31.057,29.237,31.057,30.639,31.011,29.97,31.384,30.5,31.524
30.108,31.665,30.292,30.431,29.055,31.174,29.1,31.15,30.685,31.15,30.362,31.501,30.523,31.548
30.085,31.594,30.408,30.408,29.1,31.407,29.146,30.894,30.732,31.15,29.97,31.384,30.454,31.641
30.732,31.594,30.384,30.408,29.1,31.174,29.191,31.08,30.732,31.15,29.901,31.454,30.477,31.735
30.039,31.501,30.408,30.384,29.078,30.941,28.895,31.197,30.709,31.15,29.97,31.174,30.477,31.571
30.085,31.548,30.384,30.362,29.078,31.501,29.169,31.127,30.662,31.501,29.993,31.384,30.5,31.618
30.016,31.524,30.269,30.408,29.397,31.15,29.078,31.104,30.755,31.127,30.039,31.36,30.523,31.501
30.039,31.477,30.454,30.408,28.987,31.15,29.214,30.755,30.732,31.15,30.039,31.782,30.523,31.548
30.039,31.571,30.408,30.408,29.328,31.174,29.283,31.127,30.709,31.15,29.1,31.36,30.477,31.618
30.039,31.501,30.523,30.384,29.146,31.127,29.306,31.104,30.732,31.15,30.039,31.314,30.454,31.665
30.016,31.501,30.408,30.408,28.941,31.454,29.328,31.15,30.755,31.197,30.016,31.782,30.523,31.501
30.108,31.36,30.593,30.408,28.964,31.011,29.055,31.688,30.778,31.384,30.062,31.384,30.431,31.571
30.016,31.501,30.454,30.315,28.964,30.709,29.671,31.127,30.709,31.15,30.2,30.987,30.523,31.571
30.062,31.501,30.431,30.408,29.078,31.15,29.442,30.778,30.477,30.848,30.315,31.337,30.546,31.618
29.993,31.36,30.477,30.362,28.987,31.314,29.1,31.127,30.57,30.894,29.924,31.15,30.523,31.571
30.062,31.454,30.431,30.408,28.941,31.22,29.351,31.15,30.477,30.755,30.016,31.688,30.546,31.618
30.039,30.546,30.477,30.408,28.987,31.15,29.465,31.314,30.801,30.848,30.016,31.314,30.523,31.571
29.603,31.197,30.431,30.408,28.918,31.174,29.26,31.034,30.408,30.894,30.2,31.384,30.662,31.524
30.039,31.454,31.22,30.408,28.987,31.034,30.616,31.15,30.338,30.871,30.085,31.36,30.57,31.571
30.016,31.15,28.805,30.362,28.941,31.174,29.26,31.9,30.408,30.801,30.039,31.594,30.523,31.571
30.085,31.477,30.523,30.454,28.895,31.034,29.328,31.174,30.408,31.034,29.993,31.9,30.57,31.618
30.085,31.407,30.477,30.408,28.941,31.524,29.465,31.034,30.778,30.894,29.465,31.431,30.546,31.548
30.062,31.384,30.546,30.384,29.032,30.825,29.42,31.15,30.454,31.174,30.154,31.594,30.454,31.548
30.016,31.36,30.546,30.408,28.987,31.594,29.42,31.174,30.408,31.034,30.108,31.384,30.639,31.641
30.131,31.36,30.546,30.408,28.623,31.011,30.801,31.759,30.732,30.778,30.085,31.407,30.616,31.594
30.408,31.314,30.57,30.384,28.941,31.127,29.786,31.15,30.523,30.848,30.269,31.548,30.57,31.548
30.108,31.407,26.425,30.408,29.009,31.104,29.465,30.477,30.477,31.057,30.062,30.709,30.57,31.36
30.154,31.314,30.616,30.384,29.032,30.894,29.283,31.829,30.431,31.034,30.662,31.431,30.546,31.524
29.626,31.29,30.662,30.408,29.671,31.034,29.465,31.127,30.523,30.778,30.477,31.431,30.662,31.548
30.039,31.267,30.825,30.431,28.987,30.987,29.534,31.104,30.801,30.825,30.292,31.431,30.662,31.594
30.016,31.29,30.616,30.338,28.941,30.894,27.496,31.104,30.384,30.871,29.763,31.501,30.662,31.571
30.016,31.22,30.662,30.431,29.397,30.477,29.557,31.15,30.57,30.825,28.873,31.244,30.755,31.571
30.108,31.501,30.662,30.362,29.534,30.894,29.671,31.011,30.362,30.987,30.062,31.454,30.662,31.665
30.085,31.267,30.57,30.408,29.42,31.08,29.534,31.174,30.431,31.759,30.108,31.477,30.662,31.571
